dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      868	       28	0.00
        2	        2	    30000	      391	       13	0.00
        2	        3	    30000	      244	        8	0.00
        2	        5	    30000	      268	        8	0.00
        2	        8	    30000	      312	       10	0.00
        2	       13	    30000	      492	       16	0.00
        2	       21	    30000	      592	       19	0.00
        2	       34	    30000	      767	       25	0.00
        2	       55	    30000	     1202	       40	0.00
        2	       89	    30000	     1952	       65	0.00
        2	      144	    30000	     2818	       93	0.00
        2	      233	    30000	     5767	      192	0.00
        2	      377	    30000	     9638	      321	0.00
        2	      610	    30000	    13649	      454	0.00
        2	      987	    30000	    22644	      754	0.00
        4	        1	    30000	      111	        3	0.00
        4	        2	    30000	      143	        4	0.00
        4	        3	    30000	      119	        3	0.00
        4	        5	    30000	      153	        5	0.00
        4	        8	    30000	      178	        5	0.00
        4	       13	    30000	      255	        8	0.00
        4	       21	    30000	      369	       12	0.00
        4	       34	    30000	      495	       16	0.00
        4	       55	    30000	      730	       24	0.00
        4	       89	    30000	     1184	       39	0.00
        4	      144	    30000	     1875	       62	0.00
        4	      233	    30000	     2685	       89	0.00
        4	      377	    30000	     4423	      147	0.00
        4	      610	    30000	     6720	      224	0.00
        4	      987	    30000	    11787	      392	0.00
        8	        1	    30000	      125	        4	0.00
        8	        2	    30000	      134	        4	0.00
        8	        3	    30000	      141	        4	0.00
        8	        5	    30000	      161	        5	0.00
        8	        8	    30000	      175	        5	0.00
        8	       13	    30000	      239	        7	0.00
        8	       21	    30000	      296	        9	0.00
        8	       34	    30000	      395	       13	0.00
        8	       55	    30000	      621	       20	0.00
        8	       89	    30000	     1039	       34	0.00
        8	      144	    30000	     1389	       46	0.00
        8	      233	    30000	     2072	       69	0.00
        8	      377	    30000	     3642	      121	0.00
        8	      610	    30000	     7181	      239	0.00
        8	      987	    30000	     8694	      289	0.00
       16	        1	    30000	      126	        4	0.00
       16	        2	    30000	      140	        4	0.00
       16	        3	    30000	      151	        5	0.00
       16	        5	    30000	      198	        6	0.00
       16	        8	    30000	      230	        7	0.00
       16	       13	    30000	      259	        8	0.00
       16	       21	    30000	      348	       11	0.00
       16	       34	    30000	      494	       16	0.00
       16	       55	    30000	     1057	       35	0.00
       16	       89	    30000	     1207	       40	0.00
       16	      144	    30000	     1952	       65	0.00
       16	      233	    30000	     2992	       99	0.00
       16	      377	    30000	     5494	      183	0.00
       16	      610	    30000	    10151	      338	0.00
       16	      987	    30000	    13341	      444	0.00
       24	        1	    30000	      141	        4	0.00
       24	        2	    30000	      239	        7	0.00
       24	        3	    30000	      162	        5	0.00
       24	        5	    30000	      192	        6	0.00
       24	        8	    30000	      214	        7	0.00
       24	       13	    30000	      291	        9	0.00
       24	       21	    30000	      450	       15	0.00
       24	       34	    30000	      779	       25	0.00
       24	       55	    30000	      997	       33	0.00
       24	       89	    30000	     1789	       59	0.00
       24	      144	    30000	     2104	       70	0.00
       24	      233	    30000	     3221	      107	0.00
       24	      377	    30000	     5241	      174	0.00
       24	      610	    30000	     8375	      279	0.00
       24	      987	    30000	    13708	      456	0.00
       32	        1	    30000	      147	        4	0.00
       32	        2	    30000	      162	        5	0.00
       32	        3	    30000	      176	        5	0.00
       32	        5	    30000	      216	        7	0.00
       32	        8	    30000	      265	        8	0.00
       32	       13	    30000	      347	       11	0.00
       32	       21	    30000	      497	       16	0.00
       32	       34	    30000	      724	       24	0.00
       32	       55	    30000	     1024	       34	0.00
       32	       89	    30000	     1633	       54	0.00
       32	      144	    30000	     2442	       81	0.00
       32	      233	    30000	     4274	      142	0.00
       32	      377	    30000	     6665	      222	0.00
       32	      610	    30000	    11733	      391	0.00
       32	      987	    30000	    19218	      640	0.00
    
